country, population
Afghanistan, 21851445.196875
Albania, 3143046.711236
Algeria, 30302519.475685
American Samoa, 67621.832070
Andorra, 81955.282200
Angola, 13164065.553648
Anguilla, 11409.915025
Antigua and Barbuda, 64848.007036
Argentina, 37135984.589008
Armenia, 3769006.729844
Aruba, 100571.972060
Australia, 19117258.448886
Austria, 8098137.958365
Azerbaijan, 8022693.944346
Bahamas, 304217.286398
Bahrain, 639751.010100
Bangladesh, 136946692.159294
Barbados, 267498.030060
Belarus, 10162945.304349
Belgium, 10291865.446800
Belize, 229855.510204
Benin, 6268574.365810
Bermuda, 62960.068840
Bhutan, 2146254.968071
Bolivia, 8332108.954564
Bosnia-Herzegovina, 3967448.400100
Botswana, 1541861.322149
Brazil, 170360271.296800
British Virgin Islands, 23648.942914
Brunei, 317450.486046
Bulgaria, 7959601.739226
Burkina Faso, 11537554.054510
Burundi, 6344619.602446
Cambodia, 13144739.514676
Cameroon, 14876813.165592
Canada, 30718184.476608
Cape Verde, 426952.965156
Cayman Islands, 38228.994829
Central African Republic, 3721958.120121
Chad, 7897643.601890
Chile, 15203355.324190
China, 1253670940.268538
Colombia, 42092557.046028
Dominica, 70558.946266
Comoros, 705927.856765
Democratic Republic Congo, 50845669.291587
Republic Congo, 3129230.521844
Cook Islands, 19604.288851
Costa Rica, 4027854.292532
Croatia, 4457952.202544
Cuba, 11199087.170702
Cyprus, 783644.317812
Czech Republic, 10293705.858259
Denmark, 5322335.016228
Djibouti, 631517.379113
Dominican Republic, 8392520.442680
East Timor, 739186.960917
Ecuador, 12648815.492082
Egypt, 67968957.752784
El Salvador, 6258171.364561
Equatorial Guinea, 453213.761744
Eritrea, 3669623.442810
Estonia, 1391643.378810
Ethiopia, 62917110.061653
Faroe Islands, 46223.480181
Falkland Islands, 2280.172982
Micronesia, 122722.977929
Fiji, 813595.736821
Finland, 5169119.930723
France, 59209091.068184
French Guiana, 164581.588113
French Polynesia, 233319.657777
Gabon, 1233484.988961
Gambia, 1281015.648870
Georgia, 5270911.684582
Germany, 82016426.341239
Ghana, 19334497.604225
Gibraltar, 34155.615000
Greece, 10626953.688786
Greenland, 52495.796709
